model	length	T0M0	T0M1	T2M0	T2M1	T3M0	T3M1
bolt1	125	0.695213	0.634439	0.648264	0.676469	0.681691	0.648492
bolt2	125	0.655923	0.692626	0.665065	0.62936	0.660286	0.62936
car	125	0.579847	0.608556	0.617093	0.642148	0.617093	0.642148
car1	125	0.87772	0.888342	0.885833	0.880895	0.885833	0.880895
car2	125	0.723012	0.729504	0.723364	0.73367	0.723364	0.73367
david	125	0.784572	0.74151	0.792577	0.742608	0.792577	0.742608
diving	125	0.504431	0.527011	0.600817	0.618336	0.570539	0.618336
DragonBaby	113	0.668825	0.683086	0.707195	0.745681	0.744286	0.7892
face	125	0.828394	0.813308	0.805318	0.786915	0.79417	0.778059
fish3	125	0.702601	0.692656	0.801714	0.79765	0.801714	0.79765
graduate	125	0.781835	0.801965	0.772825	0.779578	0.772825	0.779578
gymnastics1	125	0.693658	0.711801	0.698651	0.717773	0.698651	0.717773
gymnastics2	125	0.726566	0.738371	0.71236	0.709808	0.71236	0.709808
handball1	125	0.509377	0.574868	0.573822	0.588604	0.259578	0.564261
handball2	125	0.613047	0.598742	0.646591	0.661544	0.646591	0.661544
helicopter	125	0.933378	0.935841	0.933526	0.937433	0.933526	0.937433
jogging1	125	0.709228	0.701098	0.687556	0.665848	0.69303	0.398763
jump	125	0.683444	0.68756	0.701323	0.660489	0.701323	0.660489
matrix	100	0.480856	0.277979	0.45252	0.499085	0.274091	0.50845
nature	125	0.364961	0.337141	0.34301	0.336153	0.34301	0.336153
pedestrian1	125	0.622817	0.643004	0.722099	0.677089	0.722099	0.699461
pedestrian2	125	0.802422	0.798632	0.791058	0.774955	0.791058	0.774955
rabbit	125	0.204037	0.286976	0.155749	0.150796	0.213408	0
shaking	125	0.533424	0.76284	0.583496	0.74472	0.469882	0.741603
sheep	125	0.745724	0.74491	0.743191	0.745369	0.743191	0.745369
singer	150	0.814791	0.812787	0.807372	0.806419	0.807372	0.806419
singer2	125	0.125857	0.122117	0.133561	0.133222	0.132266	0.158378
soccer1	125	0.668247	0.653193	0.652031	0.639675	0.601786	0.640846
tiger	125	0.646061	0.699584	0.677742	0.690999	0.677742	0.690999
woman1	125	0.790994	0.763169	0.725783	0.697425	0.725783	0.697425
